,director_name,actor_2_name,gross,actor_1_name,actor_3_name,plot_keywords
0,James Cameron,Joel David Moore,760505847,CCH Pounder,Wes Studi,avatar|future|marine|native|paraplegic
1,Gore Verbinski,Orlando Bloom,309404152,Johnny Depp,Jack Davenport,goddess|marriage ceremony|marriage proposal|pirate|singapore
2,Sam Mendes,Rory Kinnear,200074175,Christoph Waltz,Stephanie Sigman,bomb|espionage|sequel|spy|terrorist
3,Christopher Nolan,Christian Bale,448130642,Tom Hardy,Joseph Gordon-Levitt,deception|imprisonment|lawlessness|police officer|terrorist plot
5,Andrew Stanton,Samantha Morton,73058679,Daryl Sabara,Polly Walker,alien|american civil war|male nipple|mars|princess
6,Sam Raimi,James Franco,336530303,J.K. Simmons,Kirsten Dunst,sandman|spider man|symbiote|venom|villain
7,Nathan Greno,Donna Murphy,200807262,Brad Garrett,M.C. Gainey,17th century|based on fairy tale|disney|flower|tower
8,Joss Whedon,Robert Downey Jr.,458991599,Chris Hemsworth,Scarlett Johansson,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero
9,David Yates,Daniel Radcliffe,301956980,Alan Rickman,Rupert Grint,blood|book|love|potion|professor
10,Zack Snyder,Lauren Cohan,330249062,Henry Cavill,Alan D. Purwin,based on comic book|batman|sequel to a reboot|superhero|superman
11,Bryan Singer,Marlon Brando,200069408,Kevin Spacey,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth
12,Marc Forster,Mathieu Amalric,168368427,Giancarlo Giannini,Rory Kinnear,action hero|attempted rape|bond girl|official james bond series|revenge
13,Gore Verbinski,Orlando Bloom,423032628,Johnny Depp,Jack Davenport,box office hit|giant squid|heart|liar's dice|monster
14,Gore Verbinski,Ruth Wilson,89289910,Johnny Depp,Tom Wilkinson,horse|outlaw|texas|texas ranger|train
15,Zack Snyder,Christopher Meloni,291021565,Henry Cavill,Harry Lennix,based on comic book|british actor playing american character|final battle|origin of hero|reboot
16,Andrew Adamson,Pierfrancesco Favino,141614023,Peter Dinklage,Damián Alcázar,brother brother relationship|brother sister relationship|good versus evil|king|narnia
17,Joss Whedon,Robert Downey Jr.,623279547,Chris Hemsworth,Scarlett Johansson,alien invasion|assassin|battle|iron man|soldier
18,Rob Marshall,Sam Claflin,241063875,Johnny Depp,Stephen Graham,blackbeard|captain|pirate|revenge|soldier
19,Barry Sonnenfeld,Michael Stuhlbarg,179020854,Will Smith,Nicole Scherzinger,alien|criminal|m.i.b.|maximum security prison|prison
20,Peter Jackson,Adam Brown,255108370,Aidan Turner,James Nesbitt,army|elf|hobbit|middle earth|orc
21,Marc Webb,Andrew Garfield,262030663,Emma Stone,Chris Zylka,lizard|outcast|spider|spider man|teenager
22,Ridley Scott,William Hurt,105219735,Mark Addy,Scott Grimes,1190s|archer|england|king of england|robin hood
23,Peter Jackson,Adam Brown,258355354,Aidan Turner,James Nesbitt,dwarf|elf|lake town|mountain|sword and sorcery
24,Chris Weitz,Eva Green,70083519,Christopher Lee,Kristin Scott Thomas,children|epic|friend|girl|quest
25,Peter Jackson,Thomas Kretschmann,218051260,Naomi Watts,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong
26,James Cameron,Kate Winslet,658672302,Leonardo DiCaprio,Gloria Stuart,artist|love|ship|titanic|wet
27,Anthony Russo,Scarlett Johansson,407197282,Robert Downey Jr.,Chris Evans,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero
28,Peter Berg,Alexander Skarsgård,65173160,Liam Neeson,Tadanobu Asano,box office flop|hawaii|naval|oahu hawaii|ship
29,Colin Trevorrow,Judy Greer,652177271,Bryce Dallas Howard,Omar Sy,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor
30,Sam Mendes,Helen McCrory,304360277,Albert Finney,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell
31,Sam Raimi,James Franco,373377893,J.K. Simmons,Kirsten Dunst,death|doctor|scientist|super villain|tentacle
32,Shane Black,Jon Favreau,408992272,Robert Downey Jr.,Don Cheadle,armor|explosion|human bomb|missile attack|terrorist
33,Tim Burton,Alan Rickman,334185206,Johnny Depp,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
34,Brett Ratner,Kelsey Grammer,234360014,Hugh Jackman,Daniel Cudmore,battle|mutant|outrage|walking through a wall|x men
35,Dan Scanlon,Tyler Labine,268488329,Steve Buscemi,Sean Hayes,cheating|fraternity|monster|singing in a car|university
36,Michael Bay,Kevin Dunn,402076689,Glenn Morshower,Ramon Rodriguez,autobot|decepticon|machine|sun|symbol
37,Michael Bay,Sophia Myles,245428137,Bingbing Li,Kelsey Grammer,blockbuster|bumblebee the character|semi truck and trailer|texas|truck
38,Sam Raimi,Mila Kunis,234903076,Tim Holmes,James Franco,circus|magic|magician|oz|witch
39,Marc Webb,Andrew Garfield,202853933,Emma Stone,B.J. Novak,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager
40,Joseph Kosinski,Olivia Wilde,172051787,Jeff Bridges,James Frain,arcade|bridge|disappearance|escape|warrior
41,John Lasseter,Thomas Kretschmann,191450875,Joe Mantegna,Eddie Izzard,best friend|car race|conspiracy|gadget car|spy
42,Martin Campbell,Temuera Morrison,116593191,Ryan Reynolds,Taika Waititi,autopsy|lantern|planet|ring|test pilot
43,Lee Unkrich,John Ratzenberger,414984497,Tom Hanks,Don Rickles,college|day care|escape|teddy bear|toy
44,McG,Bryce Dallas Howard,125320003,Christian Bale,Common,death row|future|machine|rescue|skynet
45,James Wan,Paul Walker,350034110,Jason Statham,Vin Diesel,car falling off a cliff|hospital|revenge|star died before release|terrorist
46,Marc Forster,Brad Pitt,202351611,Peter Capaldi,Mireille Enos,chaos|disease|infection|pandemic|zombie
47,Bryan Singer,Peter Dinklage,233914986,Jennifer Lawrence,Hugh Jackman,dystopia|super strength|supernatural power|time paradox|time travel
48,J.J. Abrams,Bruce Greenwood,228756232,Benedict Cumberbatch,Noel Clarke,admiral|captain|manhunt|mission|space
49,Bryan Singer,Ewen Bremner,65171860,Eddie Marsan,Ralph Brown,bean|giant|king|no opening credits|princess
50,Baz Luhrmann,Elizabeth Debicki,144812796,Leonardo DiCaprio,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy
51,Mike Newell,Richard Coyle,90755643,Jake Gyllenhaal,Reece Ritchie,alamut|dagger|king|persia|princess
52,Guillermo del Toro,Clifton Collins Jr.,101785482,Charlie Hunnam,Larry Joe Campbell,giant monster|kaiju|pilot|portal|robot
53,Michael Bay,Lester Speight,352358779,Glenn Morshower,Kevin Dunn,autobot|decepticon|job interview|moon|spacecraft
54,Steven Spielberg,Ray Winstone,317011114,Harrison Ford,Jim Broadbent,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957
55,Peter Sohn,Jack McGraw,123070338,A.J. Buckley,Peter Sohn,apatosaurus|asteroid|dinosaur|fear|river
56,Mark Andrews,John Ratzenberger,237282182,Kelly Macdonald,Julie Walters,archery|coming of age|female warrior|princess|rebellious daughter
57,Justin Lin,Melissa Roxburgh,130468626,Sofia Boutella,Lydia Wilson,hatred|sequel|space opera|star trek|third part
58,Andrew Stanton,Fred Willard,223806889,John Ratzenberger,Jeff Garlin,earth|obesity|plant|robot|soil
59,Brett Ratner,Dana Ivey,140080850,Tzi Ma,Noémie Lenoir,ambassador|assassination|chinese|french|triad
60,Roland Emmerich,Liam James,166112167,Oliver Platt,Tom McCarthy,ark|catastrophe|geologist|president|writer
